,Cluster_labels,SCFshift
0,2,0.011849262812575
1,2,0.0039486128125645
2,0,-0.0001570171871208
3,2,0.0093417328125724
4,2,0.0093432828125514
5,0,-0.0001563771875225
6,2,0.0039474828126913
7,2,0.011849262812575
8,2,0.0039483928130721
9,1,-0.0056761671876301
10,1,-0.009899757187668
11,0,0.0007184128126027
12,0,0.0007201428124972
13,1,-0.009899107187266
14,1,-0.0056777271875034
15,2,0.0039483928130721
16,0,-0.0001571871871419
17,1,-0.0098998471876257
18,3,-0.0134547771876896
19,0,-0.0035955571875092
20,0,-0.0035935571868321
21,3,-0.0134541771876683
22,1,-0.0099009871873931
23,0,-0.0001571871871419
24,2,0.0093419228123821
25,0,0.00071838281292
26,0,-0.0035953971873823
27,2,0.0065663728128129
28,2,0.0065677828124535
29,0,-0.0035947871874668
30,0,0.0007165428123698
31,2,0.0093419228123821
32,2,0.009343222813186
33,0,0.0007201228127087
34,0,-0.0035939071876782
35,2,0.0065679028130034
36,2,0.0065691428126228
37,0,-0.0035931971870013
38,0,0.0007185628128354
39,2,0.009343222813186
40,0,-0.000156497187163
41,1,-0.0098992671873929
42,3,-0.01345446718733
43,0,-0.0035949071871073
44,0,-0.0035930471876781
45,3,-0.0134538271868223
46,1,-0.0099006771870335
47,0,-0.000156497187163
48,2,0.0039471428126489
49,1,-0.0056778971875246
50,1,-0.0099013571871182
51,0,0.0007165728129621
52,0,0.0007181628125181
53,1,-0.0099007971875835
54,1,-0.0056793871872287
55,2,0.0039471428126489
56,2,0.011849262812575
57,2,0.0039486128125645
58,0,-0.0001570171871208
59,2,0.0093417328125724
60,2,0.0093432828125514
61,0,-0.0001563771875225
62,2,0.0039474828126913
63,2,0.011849262812575
