,Variable 1,Variable 2,Silhouette Score
4298,G2-3 R_cut = 11,G4-5  R_cut = 12,0.6389506484461149
4302,G2-3 R_cut = 11,G5-3  R_cut = 12,0.6389506484461149
4304,G2-3 R_cut = 11,G5-5  R_cut = 12,0.6389506484461149
4315,G3-0 R_cut = 11,G3-2 R_cut = 12,0.6389506484461149
4326,G3-0 R_cut = 11,G5-3  R_cut = 7,0.6389506484461149
4329,G3-0 R_cut = 11,G4-0  R_cut = 8,0.6389506484461149
4333,G3-0 R_cut = 11,G4-4  R_cut = 8,0.6389506484461149
4334,G3-0 R_cut = 11,G4-5  R_cut = 8,0.6389506484461149
4335,G3-0 R_cut = 11,G5-0  R_cut = 8,0.6389506484461149
3966,G2-0 R_cut = 11,G1 - r= 12,0.6389506484461149
3950,G1 - r= 11,G4-3  R_cut = 12,0.6389506484461149
3477,G2-3 R_cut = 10,G5-3  R_cut = 10,0.6389506484461149
3704,G3-2 R_cut = 10,G3-0 R_cut = 12,0.6389506484461149
3690,G3-2 R_cut = 10,G1 - r= 11,0.6389506484461149
3691,G3-2 R_cut = 10,G2-0 R_cut = 11,0.6389506484461149
3692,G3-2 R_cut = 10,G2-1 R_cut = 11,0.6389506484461149
